Date,Close,High,Low,Open,Volume,Symbol
,INFY.NS,INFY.NS,INFY.NS,INFY.NS,INFY.NS,
2019-01-01,565.13330078125,566.1955015765931,555.8709409650227,561.6493029186341,2943390,INFY.NS
2019-01-02,568.5324096679688,572.7387356814148,562.5840845199422,565.9406497979559,7416655,INFY.NS
2019-01-03,568.617431640625,575.2880328410448,563.4763375654045,571.0392290534448,6827249,INFY.NS
2019-01-04,561.7342529296875,572.6537081218263,553.1941689888588,570.8267020249859,7889310,INFY.NS
2019-01-07,570.7842407226562,572.3987548434267,562.1166716931091,565.0908339771996,8046340,INFY.NS
2019-01-08,569.382080078125,575.6703292688849,568.1074391771821,573.5459277673134,8621545,INFY.NS
2019-01-09,574.523193359375,586.1649254204133,564.2411095489465,583.105807620777,18130292,INFY.NS
2019-01-10,577.5823974609375,579.5368368308593,571.5065872964371,579.1969117816204,9572493,INFY.NS
2019-01-11,580.8113403320312,582.5108614449267,571.4639742111061,578.0071408688074,12281903,INFY.NS
2019-01-14,596.4470825195312,603.50008626917,591.3909957573147,600.7808415355571,19312937,INFY.NS
2019-01-15,617.4361572265625,620.3253646023298,600.9508293412312,600.9508293412312,19671304,INFY.NS
2019-01-16,626.1036987304688,626.9534594648655,619.0506950080315,620.2403807822988,9658944,INFY.NS
2019-01-17,623.1719970703125,627.9731658366906,619.5605140462179,625.2539211866697,6903771,INFY.NS
2019-01-18,621.1326293945312,625.5938733234768,617.181221168496,620.3253463105232,5902151,INFY.NS
2019-01-21,633.07177734375,638.1703419934984,623.7244088192114,627.2934144470915,8129422,INFY.NS
2019-01-22,633.3690185546875,636.4706653737111,623.7242568548784,629.8850209723142,6723375,INFY.NS
2019-01-23,621.7273559570312,631.032192918392,619.6454321400262,630.81975277105,7212099,INFY.NS
2019-01-24,625.4442138671875,628.9473641502767,616.0454620194565,622.1119082610179,7429783,INFY.NS
2019-01-25,624.0343017578125,630.4853041624015,618.8222881578172,622.0264077029905,5543112,INFY.NS
2019-01-28,621.9837036132812,625.9567806042542,614.3365277817488,624.5897104429184,7944693,INFY.NS
2019-01-29,621.9410400390625,626.1704364901159,612.2004949054639,619.8903824897614,6760819,INFY.NS
2019-01-30,620.232177734375,627.8365908527117,616.1308626251732,621.941041646413,5763026,INFY.NS
2019-01-31,640.439453125,641.9347090268363,620.3175912760806,620.3175912760806,13825233,INFY.NS
2019-02-01,646.84765625,651.5043205119326,636.1245463883723,641.977384014129,6276585,INFY.NS
2019-02-04,645.8651123046875,651.5043421437446,640.1404079829866,646.8049665610683,3945391,INFY.NS
2019-02-05,644.9679565429688,649.325590912961,638.2606863882015,638.2606863882015,4694366,INFY.NS
2019-02-06,652.1879272460938,655.3066248683591,644.5407505089258,645.5660793265466,5880482,INFY.NS
2019-02-07,652.7859497070312,657.4426138359341,650.2226540929985,651.9742289991776,3961797,INFY.NS
2019-02-08,650.1373901367188,659.835173378662,645.010797659837,649.3683804050283,5915169,INFY.NS
2019-02-11,651.7607421875,656.8446231971204,648.513910902913,655.2639448014535,5500216,INFY.NS
2019-02-12,641.2085571289062,649.6674033285999,633.1341636402573,649.6674033285999,7310690,INFY.NS
2019-02-14,632.3223876953125,643.387292464589,629.9299885385369,641.6784284739792,4610535,INFY.NS
2019-02-15,633.94580078125,637.8334557546334,625.9568306948943,634.2448311059765,5586389,INFY.NS
2019-02-18,633.1768798828125,638.8161628781506,628.8620083264128,634.2876311522231,5346825,INFY.NS
2019-02-19,618.8650512695312,632.7495704640896,616.3017554182281,631.5106337058822,9401334,INFY.NS
2019-02-20,632.8778076171875,634.8429908330256,620.3603576645627,621.1720785136065,5210675,INFY.NS
2019-02-21,626.6832275390625,630.5708831228163,621.2575524712774,630.5708831228163,7202786,INFY.NS
2019-02-22,627.9646606445312,630.7415639892445,622.0263492157611,625.871292308441,3750833,INFY.NS
2019-02-25,645.0107421875,647.6594605459352,628.4774515812181,628.4774515812181,6547552,INFY.NS
2019-02-26,634.415771484375,643.0455139804368,632.4078771081838,639.6277859185682,8319610,INFY.NS
2019-02-27,628.2211303710938,637.7480680672076,626.0850503630315,636.5518424025363,5936354,INFY.NS
2019-02-28,627.4093627929688,634.3302927936826,625.7004989138375,631.1688841872123,8559921,INFY.NS
2019-03-01,633.9031372070312,635.1847852384644,628.4347514127594,628.4347514127594,3998826,INFY.NS
2019-03-05,625.8713989257812,634.415718365041,623.9489270519477,632.706854477189,4826505,INFY.NS
2019-03-06,625.8713989257812,628.9473330637599,621.1720232341884,628.9473330637599,6076668,INFY.NS
2019-03-07,617.7114868164062,627.5801637813953,615.660829614423,627.1529478768471,5951551,INFY.NS
2019-03-08,608.654541015625,617.7115504147673,607.2020485109183,617.7115504147673,7193994,INFY.NS
2019-03-11,607.7147827148438,613.9094149463834,606.1341043159182,609.4663579502351,9932198,INFY.NS
2019-03-12,604.0407104492188,610.8761664222764,602.887195963531,605.7922856122367,11997387,INFY.NS
2019-03-13,605.3224487304688,613.9949034995833,603.4853988035499,606.6468080927042,11348867,INFY.NS
2019-03-14,605.2368774414062,610.8334486794357,603.3998799586489,610.0644390305857,6415187,INFY.NS
