Date,Close,High,Low,Open,Volume,Symbol
,TCS.NS,TCS.NS,TCS.NS,TCS.NS,TCS.NS,
2019-01-01,1693.8524169921875,1700.2617371423617,1678.0070023630112,1687.7990856659255,1094883,TCS.NS
2019-01-02,1712.1014404296875,1722.0269660256631,1691.359982441881,1695.8109297640963,2100463,TCS.NS
2019-01-03,1691.3150634765625,1731.373580707241,1685.2172886979179,1708.2732125704895,2611668,TCS.NS
2019-01-04,1670.7520751953125,1692.4281669289949,1638.8388046169289,1691.3599830375692,4280862,TCS.NS
2019-01-07,1689.4908447265625,1699.1939329914674,1674.4466189212392,1684.0607099602812,1856423,TCS.NS
2019-01-08,1685.618408203125,1697.0573217961519,1676.4939656277757,1696.1671322766056,1691756,TCS.NS
2019-01-09,1679.7430419921875,1708.2736590767151,1661.7167045266829,1697.9474825580128,2414376,TCS.NS
2019-01-10,1681.1673583984375,1695.810931638429,1666.5236764927397,1682.4580896570242,3053461,TCS.NS
2019-01-11,1640.21875,1669.1053565714446,1633.4977756312537,1664.6544089539207,9209862,TCS.NS
2019-01-14,1614.1357421875,1647.7403881368054,1611.2426269733214,1646.8501988401351,3615370,TCS.NS
2019-01-15,1662.6959228515625,1664.0756513201159,1609.4625494852696,1611.2429284116913,7711653,TCS.NS
2019-01-16,1664.7879638671875,1669.1053613353656,1644.1800546060908,1664.654413705138,2359280,TCS.NS
2019-01-17,1689.9005126953125,1693.2012302274518,1669.382268071903,1675.3592783810086,2625816,TCS.NS
2019-01-18,1695.565185546875,1698.7320664268223,1673.5749597386018,1678.0354473711675,1683728,TCS.NS
2019-01-21,1702.7467041015625,1723.5326224556427,1690.926410495177,1696.769693535524,2409803,TCS.NS
2019-01-22,1696.68017578125,1711.2659474280608,1686.0641942598907,1701.3190389996616,2457093,TCS.NS
2019-01-23,1673.21826171875,1700.4272389242863,1668.222536864018,1695.877562876202,2578169,TCS.NS
2019-01-24,1696.3680419921875,1699.6687591775008,1672.6828098453295,1681.4254088909026,1962927,TCS.NS
2019-01-25,1713.540771484375,1726.2085113154628,1695.8771989719353,1696.7692963938036,2327080,TCS.NS
2019-01-28,1744.050537109375,1750.2952193394342,1717.733661996983,1724.4243929577606,2769033,TCS.NS
2019-01-29,1768.806640625,1774.4268994591694,1727.6809601564303,1750.2956141249529,2557626,TCS.NS
2019-01-30,1767.601806640625,1774.827773786599,1743.7382012378646,1765.9959877643605,2429575,TCS.NS
2019-01-31,1796.7735595703125,1801.813932243551,1770.8135440046783,1772.5977390112323,4094319,TCS.NS
2019-02-01,1810.913330078125,1815.1954417641098,1782.5000456432351,1792.6699792234813,3064163,TCS.NS
2019-02-04,1829.02294921875,1833.661812785718,1804.7132916812736,1810.913325915786,1590764,TCS.NS
2019-02-05,1823.9378662109375,1833.2602409081785,1809.1736100057353,1828.7997537040224,1111404,TCS.NS
2019-02-06,1850.9239501953125,1861.6737687089553,1820.815659348503,1828.7105916033206,1789812,TCS.NS
2019-02-07,1858.14990234375,1871.5760140492534,1843.9656383980512,1850.8793944201047,1339945,TCS.NS
2019-02-08,1838.9698486328125,1864.0378775362428,1829.692120998724,1851.1024627363981,1684474,TCS.NS
2019-02-11,1842.9840087890625,1869.8362287734494,1827.8183523534,1837.7207210273407,1778730,TCS.NS
2019-02-12,1830.227294921875,1846.6418015949346,1800.252732182888,1846.6418015949346,2422903,TCS.NS
2019-02-14,1823.982666015625,1851.1024538664544,1813.6790044429192,1837.7656387823863,1724085,TCS.NS
2019-02-15,1810.6898193359375,1830.5836323896685,1793.96299520957,1827.9073405294496,1930065,TCS.NS
2019-02-18,1757.69970703125,1821.6184043044555,1750.875139534854,1817.7378020492085,2942184,TCS.NS
2019-02-19,1699.267578125,1758.3243965921313,1687.848685110255,1757.4322989784366,4408554,TCS.NS
2019-02-20,1708.143798828125,1725.1383008639702,1678.303179078632,1708.366823217579,4645778,TCS.NS
2019-02-21,1707.6529541015625,1730.669112664486,1692.3535694255108,1708.143651275425,4683919,TCS.NS
2019-02-22,1717.8677978515625,1721.74840070555,1699.5351482638707,1710.3295076491888,2271955,TCS.NS
2019-02-25,1770.947509765625,1775.2741611928263,1722.1943558707294,1723.9785510076065,2934880,TCS.NS
2019-02-26,1818.71923828125,1824.4733328389834,1759.439399426263,1769.9215456771228,6453309,TCS.NS
2019-02-27,1836.0262451171875,1851.0579597146932,1803.8214331045704,1819.8791906692995,4732082,TCS.NS
2019-02-28,1769.4307861328125,1847.8462889808395,1764.212037409777,1837.7208949890642,8454295,TCS.NS
2019-03-01,1780.0911865234375,1788.655299845219,1766.6650769975745,1779.7789742109169,4148548,TCS.NS
2019-03-05,1773.5791015625,1790.4397668869,1763.3199798289677,1788.6555718028073,2449622,TCS.NS
2019-03-06,1783.83837890625,1797.5767040319283,1770.8584238763667,1774.6498387608015,2635047,TCS.NS
2019-03-07,1796.06005859375,1805.650107350328,1784.3734934552037,1788.6556052966619,2539884,TCS.NS
2019-03-08,1804.4456787109375,1813.6343270755424,1793.1607317730238,1806.4975466443548,2031071,TCS.NS
2019-03-11,1797.398193359375,1813.6343252646645,1787.4512838636138,1809.9767470770582,3111689,TCS.NS
2019-03-12,1795.3016357421875,1806.319127387597,1786.8713576194089,1796.7290789131046,2658550,TCS.NS
2019-03-13,1784.6412353515625,1798.3795600677618,1765.1042762790596,1795.7924552675306,1833163,TCS.NS
2019-03-14,1772.9544677734375,1791.1532772648798,1767.2450223978813,1788.61071245097,1905495,TCS.NS
2019-03-15,1819.834228515625,1845.7050556879465,1776.1661000031716,1783.2136919436314,5184318,TCS.NS
2019-03-18,1804.5345458984375,1841.8242583316026,1794.0077537095724,1822.5548686368256,2349915,TCS.NS
2019-03-19,1804.5345458984375,1810.957603197629,1779.823384200373,1810.957603197629,2373993,TCS.NS
2019-03-20,1797.6209716796875,1824.160870248744,1784.1948617853084,1809.1735898503025,3091165,TCS.NS
2019-03-22,1789.2353515625,1798.4685387989314,1769.2969944522654,1797.5764413094478,3148149,TCS.NS
